,web-scraper-order,web-scraper-start-url,question,question-href
0,1661270359-952,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,越来越多的岗位被人工智能取代已经是一个不以人类意志为转移的事情，这对于人类是好是坏?,https://www.zhihu.com/question/520871344/answer/2381407132
1,1661270359-942,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,这一波人工智能泡沫将会怎么破灭？,https://www.zhihu.com/question/29350212/answer/140521442
2,1661270359-996,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能会不会自我发展最后创造出新的有机智慧生物？,https://www.zhihu.com/question/29819713/answer/45841252
3,1661270359-915,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能对人类最大的威胁是什么？,https://www.zhihu.com/question/449045648/answer/1788162726
4,1661270359-913,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能是会导致大量失业，还是会创造更多就业机会？,https://www.zhihu.com/question/63058573/answer/663730422
5,1661270359-997,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能的发展会不会彻底颠覆软件测试行业？,https://www.zhihu.com/question/278638363/answer/1057986847
6,1661270359-914,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能带来的终极后果会是什么？,https://www.zhihu.com/question/395965293/answer/1234951942
7,1661270359-943,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能会不会代替医生？,https://www.zhihu.com/question/492600444/answer/2529457866
8,1661270359-1008,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人类对人工智能的不信任源自何处？应当理解为文明间的冲突抑或是物种间的对立？,https://www.zhihu.com/question/40082171/answer/90085164
9,1661270359-919,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,考虑到未来使用人工智能技术可能面临的后果，我们如何使它变得可控？,https://www.zhihu.com/question/406704563/answer/1488165714
10,1661270359-939,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,人工智能对人类的未来是好是坏？,https://www.zhihu.com/question/379649934/answer/1119055359
11,1661270359-966,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,为什么有很多名人让人们警惕人工智能？,https://www.zhihu.com/question/27864852/answer/1692140873
12,1661270359-973,https://www.zhihu.com/search?type=content&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%E5%90%8E%E6%9E%9C,如果用高级人工智能去预测彩票中奖号码会发生什么事？,https://www.zhihu.com/question/291496071/answer/2295694269
